log: Loading Employee Data
log: Loading Ticket Data
log: Loading Ticket Data
log: Creating Work Orders
log: Writing Work Orders
log: C725421930-2,Leeland,Giblin,T504721720-25,10/21/2020 19:00,04/18/2024 11:57:38,E767582271-4,Horatius,Scobie,10/22/2020 0:44,Microsoft_Certified
log: C818586166-8,Diann,Ghidetti,T461933543-26,10/21/2020 19:04,04/18/2024 11:57:38,E932383184-0,Magdalen,Habble,10/22/2020 1:14,CompTIA_Server+
log: C327846539-3,Inessa,Klimowicz,T536131531-21,10/21/2020 19:05,04/18/2024 11:57:38,E259950699-9,Lindy,Rops,10/22/2020 2:30,Microsoft_Certified
log: C073325537-X,Ewen,Dyett,T852349691-22,10/21/2020 19:06,04/18/2024 11:57:38,E316442525-2,Chucho,Seres,10/22/2020 2:59,CompTIA_Server+
log: C757381678-2,Vicki,Tapping,T343945179-28,10/21/2020 19:06,04/18/2024 11:57:38,E564877819-8,Horatio,Roll,10/22/2020 3:38,Microsoft_Certified
log: C470254243-5,Yevette,Shewery,T786346739-2X,10/21/2020 19:09,04/18/2024 11:57:38,E768080015-4,Katy,Plumridge,10/22/2020 4:19,CompTIA_Server+
log: C209292562-8,Tasha,Wrightson,T220985344-23,10/21/2020 19:09,04/18/2024 11:57:38,E311106623-1,Virgie,Parkhouse,10/22/2020 5:16,Microsoft_Certified
log: C745795118-0,Pepito,Dulen,T457418415-29,10/21/2020 19:10,04/18/2024 11:57:38,E161606676-8,Ted,Matteotti,10/22/2020 6:45,CompTIA_Server+
log: C539078325-5,Silvie,Elliott,T092556784-21,10/21/2020 19:15,04/18/2024 11:57:38,E769348203-2,Anthony,Maven,10/22/2020 7:36,Microsoft_Certified
log: C828114000-3,Andrej,Reimers,T931096293-23,10/21/2020 19:18,04/18/2024 11:57:38,E948802623-5,Lilia,Bowen,10/22/2020 8:12,CompTIA_Server+
log: C125927207-9,Neale,Stubbert,T318144333-26,10/21/2020 19:19,04/18/2024 11:57:38,E978092756-5,Tove,Dodds,10/22/2020 8:50,Microsoft_Certified
log: C111742029-9,Jacky,Herreros,T277527624-25,10/21/2020 19:19,04/18/2024 11:57:38,E540690812-X,Diena,Kuzemka,10/22/2020 9:30,CompTIA_Server+
log: C417536591-5,Marion,Fridd,T794393452-20,10/21/2020 19:22,04/18/2024 11:57:38,E957693141-X,Philis,Whinray,10/22/2020 10:03,Microsoft_Certified
log: C321181294-6,Trula,Headingham,T367212911-29,10/21/2020 19:24,04/18/2024 11:57:38,E660836158-0,Hammad,Snead,10/22/2020 10:53,CompTIA_Server+
log: C181219043-3,Coraline,Mountcastle,T693672557-20,10/21/2020 19:25,04/18/2024 11:57:38,E478507098-6,Shep,Coatsworth,10/22/2020 11:45,Microsoft_Certified
log: C456966372-9,Nickolai,Atwood,T540420301-23,10/21/2020 19:26,04/18/2024 11:57:38,E955623057-2,Steffane,St Quenin,10/22/2020 13:12,CompTIA_Server+
